id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	bigg id	kegg id	kegg pathways	metacyc pathways
4HBTE_c0	=	Cytosol_0	SO_1256	4-Hydroxybenzoyl-CoA hydrolase_c0	3.1.2.23	-5.76		(1)  cpd00001[c0] + (1)  cpd01892[c0] <=> (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00136[c0]	(1)  H2O_c0[c0] + (1)  4-Hydroxybenzoyl-CoA_c0[c0] <=> (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  4-Hydroxybenzoate_c0[c0]	4HBTE	R01301	Ubiquinone and other terpenoid-quinone biosynthesis|Benzoate degradation	4-Hydroxybenzoate-Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|AROMATIC-COMPOUNDS-DEGRADATION|Biosynthesis|CHLORINATED-COMPOUNDS-DEG|Chloroaromatic-Compounds-Degradation|Chlorobenzoate-Degradation|Degradation|PWY3O-1109
5DOAN_c0	>	Cytosol_0	(SO_3705 or SO_1322)	5'-deoxyadenosine nuclosidase_c0				(1)  cpd00001[c0] + (1)  cpd03091[c0] => (1)  cpd00128[c0] + (1)  cpd17002[c0]	(1)  H2O_c0[c0] + (1)  5'-Deoxyadenosine_c0[c0] => (1)  Adenine_c0[c0] + (1)  5-Deoxy-D-ribose_c0[c0]				
A5PISO_c0	=	Cytosol_0	SO_3956	D-arabinose-5-phosphate aldose-ketose-isomerase_c0		-1.46		(1)  cpd00817[c0] <=> (1)  cpd00171[c0]	(1)  D-Arabinose5-phosphate_c0[c0] <=> (1)  D-Ribulose5-phosphate_c0[c0]	A5PISO	R01530		Biosynthesis|CARBO-BIOSYNTHESIS|CMP-KDO-Biosynthesis|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|KDO-NAGLIPASYN-PWY|LPSSYN-PWY|Lipid-Biosynthesis|Lipopolysaccharide-Biosynthesis|Polysaccharides-Biosynthesis|SUGAR-NUCLEOTIDES
AACPS10_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11430[c0] + (1)  cpd11493[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17011[c0]	(1)  ATP_c0[c0] + (1)  fa1_c0[c0] + (1)  ACP_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  Iso-C14:0 ACP_c0[c0]				
AACPS11_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11436[c0] + (1)  cpd11493[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17012[c0]	(1)  ATP_c0[c0] + (1)  fa3_c0[c0] + (1)  ACP_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  iso-C15:0 ACP_c0[c0]				
AACPS12_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11440[c0] + (1)  cpd11493[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17013[c0]	(1)  ATP_c0[c0] + (1)  fa6_c0[c0] + (1)  ACP_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  Iso-C16:0 ACP_c0[c0]				
AACPS13_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11431[c0] + (1)  cpd11493[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17007[c0]	(1)  ATP_c0[c0] + (1)  fa11_c0[c0] + (1)  ACP_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  Iso-C17:0 ACP_c0[c0]				
AACPS14_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  pde_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  pdeacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  pde_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  pdeacp_c0[c0]				
AACPS15_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  hpde_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  hpdeacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  hpde_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  hpdeacp_c0[c0]				
AACPS16_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  dodca_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  ddcaacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  dodca_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  ddcaacp_c0[c0]				
AACPS3_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  hdca_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  palmacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  hdca_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  palmacp_c0[c0]				
AACPS4_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  hdcea_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  hdeacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  hdcea_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  hdeacp_c0[c0]				
AACPS5_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  ocdcea_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  octeacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  ocdcea_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  octeacp_c0[c0]				
